JENIS_DAGANGAN,BULAN,TAHUN,NEGERI,KAWASAN,SAIZ_SYARIKAT,KOD_DESTINASI_EKSPORT,KOD_NEGARA_ASAL,KAWASAN_EKONOMI,JUMLAH_DAGANGAN_RM,BARANGAN_UTAMA,DESTINASI_EKSPORT,NEGARA_ASAL
IMPORT,12,2014,JOHOR,SEMENANJUNG,SME_MEDIUM,MY,TH,AFTA,1543407.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,Thailand
IMPORT,6,2020,WP KUALA LUMPUR,SEMENANJUNG,LARGE,MY,KR,"OTHER COUNTRIES, NES",146195.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,"Korea, Republic of"
IMPORT,6,2016,PULAU PINANG,SEMENANJUNG,LARGE,MY,JP,"OTHER COUNTRIES, NES",37490.0,"PERKILANGAN LOGAM, TSTL",Malaysia,Japan
IMPORT,8,2020,PULAU PINANG,SEMENANJUNG,LARGE,MY,JP,"OTHER COUNTRIES, NES",10998.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,Japan
IMPORT,8,2019,SELANGOR,SEMENANJUNG,LARGE,MY,TW,"OTHER COUNTRIES, NES",27748.0,"ALAT GANTI & AKSESORI BAGI TRAKTOR,KERETA, KENDERAAN BARANG/JALAN RAYA BERMOTOR",Malaysia,"Taiwan, Province of China"
IMPORT,10,2015,JOHOR,SEMENANJUNG,LARGE,MY,BR,LAIA,323378.0,PEMAMPAT UDARA DAN GAS,Malaysia,Brazil
IMPORT,2,2023,TERENGGANU,SEMENANJUNG,LARGE,MY,IT,EU,257.0,JENTERA & KELENGKAPAN KHUSUS UNTUK INDUSTRI TERTENTU & ALAT GANTI,Malaysia,Italy
IMPORT,2,2024,SABAH,SABAH,SME_MICRO,MY,DE,EU,679.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,Germany
IMPORT,4,2024,SELANGOR,SEMENANJUNG,LARGE,MY,TW,"OTHER COUNTRIES, NES",178.0,KELENGKAPAN PEMANASAN & PENDINGINAN & ALAT GANTI,Malaysia,"Taiwan, Province of China"
IMPORT,7,2020,WP KUALA LUMPUR,SEMENANJUNG,SME_MEDIUM,MY,CN,"OTHER COUNTRIES, NES",11873.0,"SALURAN, PAIP DAN PASANGAN BESI ATAU KELULI",Malaysia,China
IMPORT,6,2016,SELANGOR,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",82306.0,SAYUR-SAYURAN,Malaysia,China
